,Date,btc,eth,bnc
170,2018-01-11,13405.799805,1154.930054,21.0427
171,2018-01-12,13980.599609,1273.199951,22.316299
172,2018-01-13,14360.200195,1396.420044,22.1744
173,2018-01-14,13772.0,1366.77002,20.7773
174,2018-01-15,13819.799805,1291.920044,19.564699
175,2018-01-16,11490.5,1053.689941,13.8919
176,2018-01-17,11188.599609,1014.25,14.2032
177,2018-01-18,11474.900391,1036.280029,14.2804
178,2018-01-19,11607.400391,1039.099976,14.9406
179,2018-01-20,12899.200195,1155.150024,16.1903
180,2018-01-21,11600.099609,1049.579956,14.0683
181,2018-01-22,10931.400391,1003.26001,13.0146
182,2018-01-23,10868.400391,986.229004,13.0935
183,2018-01-24,11359.400391,1058.780029,13.6287
184,2018-01-25,11259.400391,1056.030029,13.2284
185,2018-01-26,11171.400391,1055.170044,13.2182
186,2018-01-27,11440.700195,1107.069946,13.253
187,2018-01-28,11786.299805,1246.01001,13.5402
188,2018-01-29,11296.400391,1182.359985,12.7645
189,2018-01-30,10106.299805,1071.130005,11.2507
190,2018-01-31,10221.099609,1118.310059,11.145
191,2018-02-01,9170.540039,1036.790039,9.51584
192,2018-02-02,8830.75,915.784973,9.65229
193,2018-02-03,9174.910156,964.018982,9.74968
194,2018-02-04,8277.009766,834.682007,8.45864
195,2018-02-05,6955.27002,697.950989,6.70503
196,2018-02-06,7754.0,793.122009,8.28885
197,2018-02-07,7621.299805,757.067993,8.09501
198,2018-02-08,8265.589844,817.807007,8.5955
199,2018-02-09,8736.980469,883.86499,9.73046
200,2018-02-10,8621.900391,860.414978,9.25597
201,2018-02-11,8129.970215,814.659973,8.70491
202,2018-02-12,8926.570313,868.70697,9.32247
203,2018-02-13,8598.30957,845.257996,8.98678
204,2018-02-14,9494.629883,923.560974,10.4006
205,2018-02-15,10166.400391,936.976013,10.9311
206,2018-02-16,10233.900391,944.210022,11.2016
207,2018-02-17,11112.700195,974.11499,11.6893
208,2018-02-18,10551.799805,923.921021,10.7024
209,2018-02-19,11225.299805,943.86499,11.0757
210,2018-02-20,11403.700195,895.370972,9.90451
211,2018-02-21,10690.400391,849.971008,9.38079
212,2018-02-22,10005.0,812.844971,8.90403
213,2018-02-23,10301.099609,864.189026,9.69211
214,2018-02-24,9813.070313,840.515015,9.14191
215,2018-02-25,9664.730469,844.809998,9.3466
216,2018-02-26,10366.700195,869.315002,9.90232
217,2018-02-27,10725.599609,878.265015,10.6599
218,2018-02-28,10397.900391,855.198975,10.4382
219,2018-03-01,10951.0,872.200012,10.5097
220,2018-03-02,11086.400391,856.853027,10.2248
221,2018-03-03,11489.700195,857.224976,10.2179
222,2018-03-04,11512.599609,866.677979,10.3481
223,2018-03-05,11573.299805,853.684021,10.1105
224,2018-03-06,10779.900391,816.950989,9.38438
225,2018-03-07,9965.570313,752.830994,9.03488
226,2018-03-08,9395.009766,704.596008,8.31044
227,2018-03-09,9337.549805,728.916016,8.31307
228,2018-03-10,8866.0,686.890015,7.67166
229,2018-03-11,9578.629883,723.338989,8.27238
230,2018-03-12,9205.120117,699.830994,8.03927
231,2018-03-13,9194.849609,690.827026,10.1152
232,2018-03-14,8269.80957,614.291016,8.95921
233,2018-03-15,8300.860352,611.304016,9.09908
234,2018-03-16,8338.349609,601.666016,9.11132
235,2018-03-17,7916.879883,552.778992,8.98774
236,2018-03-18,8223.679688,538.643982,8.95185
237,2018-03-19,8630.650391,556.726013,8.99274
238,2018-03-20,8913.469727,557.174988,9.16093
239,2018-03-21,8929.280273,561.731995,9.982
240,2018-03-22,8728.469727,539.702026,10.0663
241,2018-03-23,8879.620117,539.619019,11.7376
242,2018-03-24,8668.120117,526.439026,13.0891
243,2018-03-25,8495.780273,524.286987,12.7831
244,2018-03-26,8209.400391,489.950989,12.0614
245,2018-03-27,7833.040039,450.115997,11.5083
246,2018-03-28,7954.47998,446.278992,11.6404
247,2018-03-29,7165.700195,385.967987,10.1961
248,2018-03-30,6890.52002,394.644989,10.3504
249,2018-03-31,6973.529785,396.457001,11.0559
250,2018-04-01,6844.22998,379.606995,11.0662
251,2018-04-02,7083.799805,386.424988,12.6207
252,2018-04-03,7456.109863,416.893005,13.3607
253,2018-04-04,6853.839844,380.542999,12.1904
254,2018-04-05,6811.470215,383.231995,12.4536
255,2018-04-06,6636.319824,370.285004,12.2584
256,2018-04-07,6911.089844,385.313995,12.4557
257,2018-04-08,7023.52002,400.507996,12.1176
258,2018-04-09,6770.72998,398.526001,11.8683
259,2018-04-10,6834.759766,414.243011,12.0362
260,2018-04-11,6968.319824,430.540009,12.2309
261,2018-04-12,7889.25,492.94101,12.9525
262,2018-04-13,7895.959961,492.734985,13.5368
263,2018-04-14,7986.240234,501.477997,13.2444
264,2018-04-15,8329.110352,531.702026,13.0588
265,2018-04-16,8058.669922,511.147003,12.21
266,2018-04-17,7902.089844,502.894012,11.7694
267,2018-04-18,8163.419922,524.789001,12.2757
268,2018-04-19,8294.30957,567.888977,12.3526
269,2018-04-20,8845.830078,615.718018,12.5752
270,2018-04-21,8895.580078,605.39502,13.3784
271,2018-04-22,8802.459961,621.859985,12.8759
272,2018-04-23,8930.879883,642.547974,13.6253
273,2018-04-24,9697.5,708.15802,15.266
274,2018-04-25,8845.740234,615.416016,13.2909
275,2018-04-26,9281.509766,662.809021,14.6536
276,2018-04-27,8987.049805,647.031982,14.3291
277,2018-04-28,9348.480469,683.677979,15.2001
278,2018-04-29,9419.080078,688.880981,15.0562
279,2018-04-30,9240.549805,669.924011,14.3121
280,2018-05-01,9119.009766,673.612976,14.1643
281,2018-05-02,9235.919922,687.148987,14.4092
282,2018-05-03,9743.860352,779.54303,14.6526
283,2018-05-04,9700.759766,785.624023,14.3295
284,2018-05-05,9858.150391,816.119995,14.3687
285,2018-05-06,9654.799805,792.310974,13.9426
286,2018-05-07,9373.009766,753.724976,13.7025
287,2018-05-08,9234.820313,752.856995,13.529
288,2018-05-09,9325.179688,752.275024,14.6602
289,2018-05-10,9043.94043,727.276978,13.8184
290,2018-05-11,8441.490234,679.585999,12.9939
291,2018-05-12,8504.889648,686.047974,12.9439
292,2018-05-13,8723.94043,733.495972,13.1187
293,2018-05-14,8716.790039,730.549011,12.8707
294,2018-05-15,8510.379883,708.870972,12.5678
295,2018-05-16,8368.830078,707.049988,12.2605
296,2018-05-17,8094.319824,672.656982,12.465
297,2018-05-18,8250.969727,694.367004,15.1354
298,2018-05-19,8247.179688,696.530029,14.2457
299,2018-05-20,8513.25,715.369019,14.1178
300,2018-05-21,8418.990234,699.221985,14.7223
301,2018-05-22,8041.779785,647.741028,13.9255
302,2018-05-23,7557.819824,583.585022,12.6262
303,2018-05-24,7587.339844,601.755005,13.0003
304,2018-05-25,7480.140137,586.734009,13.008
305,2018-05-26,7355.879883,587.280029,12.7591
306,2018-05-27,7368.220215,572.66803,12.6058
307,2018-05-28,7135.990234,516.036011,11.8943
308,2018-05-29,7472.589844,565.388,12.5717
309,2018-05-30,7406.52002,559.590027,12.5709
310,2018-05-31,7494.169922,577.64502,14.1902
311,2018-06-01,7541.450195,580.04303,14.2408
312,2018-06-02,7643.450195,591.807983,14.6797
313,2018-06-03,7720.25,618.328979,14.566
314,2018-06-04,7514.470215,592.984985,14.2611
315,2018-06-05,7633.759766,609.302979,15.5993
316,2018-06-06,7653.97998,607.124023,17.247499
